,north,east,south,west
2022-01-21 18:00:00+00:00,0.010518986626168902,0.010518986626168902,0.010518986626168902,0.010518986626168902
2022-01-21 18:05:00+00:00,0.0086064436032291,0.0086064436032291,0.0086064436032291,0.0086064436032291
2022-01-21 18:10:00+00:00,0.007041635675369263,0.007041635675369263,0.007041635675369263,0.007041635675369263
2022-01-21 18:15:00+00:00,0.005761338279847579,0.005761338279847579,0.005761338279847579,0.005761338279847579
2022-01-21 18:20:00+00:00,0.0047138222289662,0.0047138222289662,0.0047138222289662,0.0047138222289662
2022-01-21 18:25:00+00:00,0.0038567636418814356,0.0038567636418814356,0.0038567636418814356,0.0038567636418814356
2022-01-21 18:30:00+00:00,0.0031555338888120833,0.0031555338888120833,0.0031555338888120833,0.0031555338888120833
2022-01-21 18:35:00+00:00,0.002581800454482613,0.002581800454482613,0.002581800454482613,0.002581800454482613
2022-01-21 18:40:00+00:00,0.0021123821900312285,0.0021123821900312285,0.0021123821900312285,0.0021123821900312285
2022-01-21 18:45:00+00:00,0.0017283127009346411,0.0017283127009346411,0.0017283127009346411,0.0017283127009346411
2022-01-21 18:50:00+00:00,0.0014140740280374335,0.0014140740280374335,0.0014140740280374335,0.0014140740280374335
2022-01-21 18:55:00+00:00,0.0011569696593033544,0.0011569696593033544,0.0011569696593033544,0.0011569696593033544
2022-01-21 19:00:00+00:00,0.0009466115394300171,0.0009466115394300171,0.0009466115394300171,0.0009466115394300171
2022-01-21 19:05:00+00:00,0.0007745003504427412,0.0007745003504427412,0.0007745003504427412,0.0007745003504427412
2022-01-21 19:10:00+00:00,0.0006336821049076971,0.0006336821049076971,0.0006336821049076971,0.0006336821049076971
2022-01-21 19:15:00+00:00,0.0005184671767426613,0.0005184671767426613,0.0005184671767426613,0.0005184671767426613
2022-01-21 19:20:00+00:00,0.0004242004173349046,0.0004242004173349046,0.0004242004173349046,0.0004242004173349046
2022-01-21 19:25:00+00:00,0.00034707306872855826,0.00034707306872855826,0.00034707306872855826,0.00034707306872855826
2022-01-21 19:30:00+00:00,0.0002839688744142749,0.0002839688744142749,0.0002839688744142749,0.0002839688744142749
2022-01-21 19:35:00+00:00,0.00023233816997531573,0.00023233816997531573,0.00023233816997531573,0.00023233816997531573
2022-01-21 19:40:00+00:00,0.00019009486634344013,0.00019009486634344013,0.00019009486634344013,0.00019009486634344013
2022-01-21 19:45:00+00:00,0.00015553216337190552,0.00015553216337190552,0.00015553216337190552,0.00015553216337190552
2022-01-21 19:50:00+00:00,0.00012725358821337725,0.00012725358821337725,0.00012725358821337725,0.00012725358821337725
2022-01-21 19:55:00+00:00,0.00010411657217458136,0.00010411657217458136,0.00010411657217458136,0.00010411657217458136
2022-01-21 20:00:00+00:00,8.518628632465746e-05,8.518628632465746e-05,8.518628632465746e-05,8.518628632465746e-05
2022-01-21 20:05:00+00:00,6.969787062926518e-05,6.969787062926518e-05,6.969787062926518e-05,6.969787062926518e-05
2022-01-21 20:10:00+00:00,5.702553051485333e-05,5.702553051485333e-05,5.702553051485333e-05,5.702553051485333e-05
2022-01-21 20:15:00+00:00,4.665725223942545e-05,4.665725223942545e-05,4.665725223942545e-05,4.665725223942545e-05
2022-01-21 20:20:00+00:00,3.8174115468620814e-05,3.8174115468620814e-05,3.8174115468620814e-05,3.8174115468620814e-05
2022-01-21 20:25:00+00:00,3.1233367201598844e-05,3.1233367201598844e-05,3.1233367201598844e-05,3.1233367201598844e-05
2022-01-21 20:30:00+00:00,2.5554573164944505e-05,2.5554573164944505e-05,2.5554573164944505e-05,2.5554573164944505e-05
2022-01-21 20:35:00+00:00,2.090828713495459e-05,2.090828713495459e-05,2.090828713495459e-05,2.090828713495459e-05
2022-01-21 20:40:00+00:00,1.7106780383144663e-05,1.7106780383144663e-05,1.7106780383144663e-05,1.7106780383144663e-05
2022-01-21 20:45:00+00:00,1.3996456677118357e-05,1.3996456677118357e-05,1.3996456677118357e-05,1.3996456677118357e-05
2022-01-21 20:50:00+00:00,1.1451646372187746e-05,1.1451646372187746e-05,1.1451646372187746e-05,1.1451646372187746e-05
2022-01-21 20:55:00+00:00,9.369528849971791e-06,9.369528849971791e-06,9.369528849971791e-06,9.369528849971791e-06
2022-01-21 21:00:00+00:00,7.665978149976918e-06,7.665978149976918e-06,7.665978149976918e-06,7.665978149976918e-06
2022-01-21 21:05:00+00:00,6.2721639408902044e-06,6.2721639408902044e-06,6.2721639408902044e-06,6.2721639408902044e-06
2022-01-21 21:10:00+00:00,5.131770497091985e-06,5.131770497091985e-06,5.131770497091985e-06,5.131770497091985e-06
2022-01-21 21:15:00+00:00,4.198721315802533e-06,4.198721315802533e-06,4.198721315802533e-06,4.198721315802533e-06
2022-01-21 21:20:00+00:00,3.435317440202072e-06,3.435317440202072e-06,3.435317440202072e-06,3.435317440202072e-06
2022-01-21 21:25:00+00:00,2.81071426925624e-06,2.81071426925624e-06,2.81071426925624e-06,2.81071426925624e-06
2022-01-21 21:30:00+00:00,2.299675311209651e-06,2.299675311209651e-06,2.299675311209651e-06,2.299675311209651e-06
2022-01-21 21:35:00+00:00,1.8815525273533501e-06,1.8815525273533501e-06,1.8815525273533501e-06,1.8815525273533501e-06
2022-01-21 21:40:00+00:00,1.5394520678345588e-06,1.5394520678345588e-06,1.5394520678345588e-06,1.5394520678345588e-06
2022-01-21 21:45:00+00:00,1.259551691864639e-06,1.259551691864639e-06,1.259551691864639e-06,1.259551691864639e-06
2022-01-21 21:50:00+00:00,1.0305422933437953e-06,1.0305422933437953e-06,1.0305422933437953e-06,1.0305422933437953e-06
2022-01-21 21:55:00+00:00,8.431709672812869e-07,8.431709672812869e-07,8.431709672812869e-07,8.431709672812869e-07
2022-01-21 22:00:00+00:00,6.898671550483255e-07,6.898671550483255e-07,6.898671550483255e-07,6.898671550483255e-07
2022-01-21 22:05:00+00:00,5.644367632213571e-07,5.644367632213571e-07,5.644367632213571e-07,5.644367632213571e-07
2022-01-21 22:10:00+00:00,4.618118971811103e-07,4.618118971811103e-07,4.618118971811103e-07,4.618118971811103e-07
2022-01-21 22:15:00+00:00,3.7784609769363564e-07,3.7784609769363564e-07,3.7784609769363564e-07,3.7784609769363564e-07
2022-01-21 22:20:00+00:00,3.091468072038837e-07,3.091468072038837e-07,3.091468072038837e-07,3.091468072038837e-07
